title,price,rating,reviews,availability
Data Engineering with AWS: Learn how to design and build cloud-based data transformation pipelines using AWS,$49.49,4.5 out of 5 stars,64 ratings,In Stock
Azure Data Engineer Associate Certification Guide: A hands-on reference guide to developing your data engineering skills and preparing for the DP-203 exam,$51.99,4.0 out of 5 stars,23 ratings,In Stock
Data Privacy: A runbook for engineers,$35.49,4.8 out of 5 stars,43 ratings,In Stock
"Data Engineering with Apache Spark, Delta Lake, and Lakehouse: Create scalable pipelines that ingest, curate, and aggregate complex data in a timely and secure way",$37.25,3.9 out of 5 stars,57 ratings,In Stock
Fundamentals of Data Engineering: Plan and Build Robust Data Systems,$38.99,4.8 out of 5 stars,163 ratings,In Stock
Data Engineering with AWS: Learn how to design and build cloud-based data transformation pipelines using AWS,$49.49,4.5 out of 5 stars,64 ratings,In Stock
Data Engineering with Python: Work with massive datasets to design data models and automate data pipelines using Python,$37.99,4.1 out of 5 stars,111 ratings,In Stock
Azure Data Engineer Associate Certification Guide: A hands-on reference guide to developing your data engineering skills and preparing for the DP-203 exam,$51.99,4.0 out of 5 stars,23 ratings,In Stock
"Ace the Data Science Interview: 201 Real Interview Questions Asked By FAANG, Tech Startups, & Wall Street",$34.85,4.5 out of 5 stars,754 ratings,In Stock
"Azure Machine Learning Engineering: Deploy, fine-tune, and optimize ML models using Microsoft Azure",$39.99,5.0 out of 5 stars,4 ratings,In Stock
"Practical Data Science with R, Second Edition",$49.99,4.5 out of 5 stars,37 ratings,Only 15 left in stock (more on the way)
Data Engineering with Python: Work with massive datasets to design data models and automate data pipelines using Python,$37.99,4.1 out of 5 stars,111 ratings,In Stock
The Data Vault Guru: a pragmatic guide on building a data vault,$78.11,4.0 out of 5 stars,15 ratings,In Stock
Data Engineering with AWS: Learn how to design and build cloud-based data transformation pipelines using AWS,$49.49,4.5 out of 5 stars,64 ratings,In Stock
Effective Data Science Infrastructure: How to make data scientists productive,$47.44,4.7 out of 5 stars,10 ratings,In Stock
"A Common-Sense Guide to Data Structures and Algorithms, Second Edition: Level Up Your Core Programming Skills",$31.13,4.7 out of 5 stars,601 ratings,In Stock
Official Google Cloud Certified Professional Data Engineer Study Guide,$31.49,4.5 out of 5 stars,193 ratings,In Stock
Modern Data Engineering with Apache Spark: A Hands-On Guide for Building Mission-Critical Streaming Applications,$48.13,4.2 out of 5 stars,12 ratings,Only 7 left in stock - order soon
Data Structures & Algorithms in Python (Developer's Library),$68.58,4.9 out of 5 stars,13 ratings,In Stock
Data-oriented design: software engineering for limited resources and short schedules,$34.99,4.4 out of 5 stars,91 ratings,In Stock
Introduction to Data Engineering: Learn the skills needed to break into Data Engineering.,,3.8 out of 5 stars,9 ratings,
Data Engineering with Alteryx: Helping data engineers apply DataOps practices with Alteryx,$44.99,4.3 out of 5 stars,11 ratings,In Stock
Data Pipelines Pocket Reference: Moving and Processing Data for Analytics,$24.99,4.5 out of 5 stars,240 ratings,In Stock
"Designing Data-Intensive Applications: The Big Ideas Behind Reliable, Scalable, and Maintainable Systems",$39.63,4.8 out of 5 stars,"3,701 ratings",Only 19 left in stock - order soon
Python Programming for Beginners: The Complete Guide to Mastering Python in 7 Days with Hands-On Exercises – Top Secret Coding Tips to Get an Unfair Advantage and Land Your Dream Job!,$20.85,4.9 out of 5 stars,386 ratings,In Stock
MLOps Engineering at Scale,$38.10,4.2 out of 5 stars,3 ratings,Only 15 left in stock - order soon
"Ace the Data Science Interview: 201 Real Interview Questions Asked By FAANG, Tech Startups, & Wall Street",$34.85,4.5 out of 5 stars,754 ratings,In Stock
Become an Awesome Software Architect: Book 1: Foundation 2019,$49.99,4.2 out of 5 stars,94 ratings,In Stock
Data Quality Fundamentals: A Practitioner's Guide to Building Trustworthy Data Pipelines,$53.85,4.4 out of 5 stars,15 ratings,In Stock
Data Mesh: Delivering Data-Driven Value at Scale,$46.24,4.5 out of 5 stars,168 ratings,In Stock
Software Architecture: The Hard Parts: Modern Trade-Off Analyses for Distributed Architectures,$38.49,4.5 out of 5 stars,280 ratings,Only 19 left in stock (more on the way)
97 Things Every Data Engineer Should Know: Collective Wisdom from the Experts,$28.99,4.1 out of 5 stars,39 ratings,In Stock
"JavaScript from Beginner to Professional: Learn JavaScript quickly by building fun, interactive, and dynamic web apps, games, and pages",$33.29,4.7 out of 5 stars,185 ratings,In Stock
EXCEL 2023: The Beginners Guide to Master Microsoft Excel from Scratch in Less than 7 Min. a Day. Discover all the Function & Formulas with Step-by-Step Tutorials with Simple & Real-Life Examples,$14.67,5.0 out of 5 stars,587 ratings,In Stock
"Microsoft Power BI Quick Start Guide: The ultimate beginner's guide to data modeling, visualization, digital storytelling, and more, 3rd Edition",$33.29,4.7 out of 5 stars,31 ratings,In Stock
"Data Analytics: Principles, Tools, and Practices: A Complete Guide for Advanced Data Analytics Using the Latest Trends, Tools, and Technologies (English Edition)",$29.95,3.5 out of 5 stars,4 ratings,In Stock
"Data-Driven Science and Engineering: Machine Learning, Dynamical Systems, and Control",$64.99,4.8 out of 5 stars,43 ratings,In Stock
"Ace the Data Science Interview: 201 Real Interview Questions Asked By FAANG, Tech Startups, & Wall Street",$34.85,4.5 out of 5 stars,754 ratings,In Stock
Observability Engineering: Achieving Production Excellence,$34.00,4.4 out of 5 stars,82 ratings,In Stock
"Privacy in the Age of Big Data: Recognizing Threats, Defending Your Rights, and Protecting Your Family",$35.00,Previous page,,"This title will be released on March 15, 2023."
Machine Learning Engineering,$39.49,4.7 out of 5 stars,241 ratings,Only 10 left in stock (more on the way)
Designing Machine Learning Systems: An Iterative Process for Production-Ready Applications,$25.99,4.7 out of 5 stars,232 ratings,Only 14 left in stock - order soon
"Data Engineering with Apache Spark, Delta Lake, and Lakehouse: Create scalable pipelines that ingest, curate, and aggregate complex data in a timely and secure way",$37.25,3.9 out of 5 stars,57 ratings,In Stock
"Data Driven: Truckers, Technology, and the New Workplace Surveillance",$33.00,4.7 out of 5 stars,7 ratings,In Stock
Data Engineering with Google Cloud Platform: A practical guide to operationalizing scalable data analytics systems on GCP,$51.99,4.7 out of 5 stars,15 ratings,In Stock
Azure Data Engineer Associate Certification Guide: A hands-on reference guide to developing your data engineering skills and preparing for the DP-203 exam,,4.0 out of 5 stars,23 ratings,
